County,Char_1,Char_2,Char_3
"LonokeCounty,Arkansas",424,0.00528,148000
"MadisonCounty,Arkansas",134,0.00334,74000
"MarionCounty,Arkansas",179,0.001,166000
"MillerCounty,Arkansas",444,0.0004,156000
"MississippiCounty,Arkansas",138,0.00115,199000
"MonroeCounty,Arkansas",128,0.00081,36000
"MontgomeryCounty,Arkansas",380,0.00693,114000
"NevadaCounty,Arkansas",413,0.0049,149000
"NewtonCounty,Arkansas",465,0.00386,90000
"OuachitaCounty,Arkansas",461,0.00458,22000
"PerryCounty,Arkansas",128,0.00247,129000
"PhillipsCounty,Arkansas",323,0.00744,137000
"PikeCounty,Arkansas",355,0.00625,142000
"PoinsettCounty,Arkansas",457,0.00755,15000
"PolkCounty,Arkansas",406,0.0039,41000
"PopeCounty,Arkansas",174,0.00891,81000
"PrairieCounty,Arkansas",422,0.00095,10000
"PulaskiCounty,Arkansas",117,0.0095,95000
"RandolphCounty,Arkansas",395,0.00592,134000
"SaintFrancisCounty,Arkansas",214,0.00525,28000
"SalineCounty,Arkansas",231,0.00596,79000
"ScottCounty,Arkansas",460,0.00952,176000
"SearcyCounty,Arkansas",253,0.00999,97000
"SebastianCounty,Arkansas",264,0.00524,174000
"SevierCounty,Arkansas",471,0.00066,131000
"SharpCounty,Arkansas",167,0.00394,118000
"StoneCounty,Arkansas",172,0.00784,149000
"UnionCounty,Arkansas",461,0.0037,189000
"VanBurenCounty,Arkansas",427,0.00512,78000
"WashingtonCounty,Arkansas",334,0.00775,125000
"WhiteCounty,Arkansas",334,0.0067,196000
"WoodruffCounty,Arkansas",108,0.00931,183000
"YellCounty,Arkansas",188,0.00676,90000
"AlamedaCounty,California",475,0.00405,168000
"AlpineCounty,California",401,0.00423,153000
"AmadorCounty,California",305,0.00242,76000
"ButteCounty,California",165,0.00379,137000
"CalaverasCounty,California",282,0.00845,197000
"ColusaCounty,California",440,0.00879,102000
"ContraCostaCounty,California",489,0.00604,75000
"DelNorteCounty,California",357,0.00384,50000
"ElDoradoCounty,California",388,0.00536,158000
"FresnoCounty,California",297,0.00603,48000
"GlennCounty,California",139,0.00544,40000
"HumboldtCounty,California",164,0.00758,152000
"ImperialCounty,California",367,0.00035,132000
"InyoCounty,California",486,0.00207,200000
"KernCounty,California",429,0.00309,135000
"KingsCounty,California",264,0.00737,35000
"LakeCounty,California",382,0.00094,167000
"LassenCounty,California",415,0.00486,165000
"LosAngelesCounty,California",215,0.00612,82000
"MaderaCounty,California",417,0.00496,79000
"MarinCounty,California",231,0.00154,30000
"MariposaCounty,California",480,0.00326,137000
"MendocinoCounty,California",321,0.004,162000
"MercedCounty,California",140,0.00145,136000
"ModocCounty,California",451,0.00313,124000
"MonoCounty,California",181,0.00575,132000
"MontereyCounty,California",211,0.00465,18000
"NapaCounty,California",106,0.0054,183000
"NevadaCounty,California",490,0.00129,101000
"OrangeCounty,California",148,0.00207,56000
"PlacerCounty,California",268,0.00795,110000
"PlumasCounty,California",180,0.00182,179000
"RiversideCounty,California",258,0.00885,89000
"SacramentoCounty,California",298,0.00552,45000
"SanBenitoCounty,California",232,0.00151,29000
"SanBernardinoCounty,California",437,0.00824,34000
"SanDiegoCounty,California",318,0.00277,63000
"SanFranciscoCounty,California",286,0.00367,83000
"SanJoaquinCounty,California",461,0.0007,145000
"SanLuisObispoCounty,California",324,0.00319,17000
"SanMateoCounty,California",174,0.00805,45000
"SantaBarbaraCounty,California",313,0.00025,70000
"SantaClaraCounty,California",161,0.00184,96000
"SantaCruzCounty,California",110,0.00276,171000
"ShastaCounty,California",160,0.00722,37000
"SierraCounty,California",102,0.00347,56000
"SiskiyouCounty,California",283,0.00362,96000
"SolanoCounty,California",368,0.00514,47000
"SonomaCounty,California",403,0.00668,144000
"StanislausCounty,California",385,0.00409,51000
"SutterCounty,California",182,0.00554,176000
"TehamaCounty,California",221,0.00172,59000
"TrinityCounty,California",497,0.00674,124000
"TulareCounty,California",462,0.00369,125000
"TuolumneCounty,California",331,0.00365,189000
"VenturaCounty,California",451,0.00067,14000
"YoloCounty,California",415,0.00446,185000
"YubaCounty,California",444,0.00756,150000
"AdamsCounty,Colorado",153,0.00297,95000
"AlamosaCounty,Colorado",179,0.00968,69000
"ArapahoeCounty,Colorado",497,0.0021,19000
"ArchuletaCounty,Colorado",103,0.00327,13000
"BacaCounty,Colorado",258,0.0097,79000
"BentCounty,Colorado",304,0.0038,161000
"BoulderCounty,Colorado",309,0.0052,117000
"BroomfieldCounty,Colorado",119,0.00896,159000
"ChaffeeCounty,Colorado",270,0.00711,197000
"CheyenneCounty,Colorado",246,0.00656,73000
"ClearCreekCounty,Colorado",335,0.00345,150000
"ConejosCounty,Colorado",434,0.00095,184000
"CostillaCounty,Colorado",227,0.0001,196000
"CrowleyCounty,Colorado",460,0.00521,136000
"CusterCounty,Colorado",371,0.00229,33000
"DeltaCounty,Colorado",344,0.00347,49000
"DenverCounty,Colorado",410,0.0012,158000
"DoloresCounty,Colorado",434,0.00956,149000
"DouglasCounty,Colorado",249,0.005,104000
"EagleCounty,Colorado",445,0.00216,58000
"ElPasoCounty,Colorado",469,0.00197,92000
"ElbertCounty,Colorado",199,0.0009,111000
"FremontCounty,Colorado",357,0.00028,92000
"GarfieldCounty,Colorado",219,0.00082,188000
"GilpinCounty,Colorado",170,0.00031,109000
"GrandCounty,Colorado",398,0.00297,149000
"GunnisonCounty,Colorado",398,0.00185,151000
"HinsdaleCounty,Colorado",500,0.00261,170000
"HuerfanoCounty,Colorado",345,0.00541,41000
"JacksonCounty,Colorado",199,0.00374,157000
"JeffersonCounty,Colorado",314,0.0024,24000
"KiowaCounty,Colorado",378,0.00596,132000
"KitCarsonCounty,Colorado",384,0.00625,46000
"LaPlataCounty,Colorado",371,0.00655,54000
"LakeCounty,Colorado",370,0.00435,64000
"LarimerCounty,Colorado",374,0.00067,125000
"LasAnimasCounty,Colorado",126,0.00679,51000
"LincolnCounty,Colorado",421,0.00746,89000
"LoganCounty,Colorado",475,0.00451,21000
"MesaCounty,Colorado",137,0.00472,110000
"MineralCounty,Colorado",169,0.00175,84000
"MoffatCounty,Colorado",394,0.00545,150000
"MontezumaCounty,Colorado",279,0.00881,47000
"MontroseCounty,Colorado",285,0.00605,188000
"MorganCounty,Colorado",312,0.00372,87000
"OteroCounty,Colorado",174,0.00095,198000
"OurayCounty,Colorado",211,0.00516,162000
"ParkCounty,Colorado",289,0.0031,80000
"PhillipsCounty,Colorado",451,0.00851,188000
"PitkinCounty,Colorado",297,0.00051,193000
"ProwersCounty,Colorado",214,0.00071,137000
"PuebloCounty,Colorado",490,0.00633,175000
"RioBlancoCounty,Colorado",368,0.00235,83000
"RioGrandeCounty,Colorado",226,0.00974,141000
"RouttCounty,Colorado",166,0.00894,77000
"SaguacheCounty,Colorado",430,0.00821,182000
"SanJuanCounty,Colorado",301,0.00162,48000
"SanMiguelCounty,Colorado",132,0.00492,47000
"SedgwickCounty,Colorado",410,0.00373,100000
"SummitCounty,Colorado",286,0.00987,15000
"TellerCounty,Colorado",191,0.0071,113000
"WashingtonCounty,Colorado",481,0.00278,176000
"WeldCounty,Colorado",253,0.00627,105000
"YumaCounty,Colorado",468,0.00381,116000
"FairfieldCounty,Connecticut",378,0.00082,71000
"HartfordCounty,Connecticut",236,0.00829,198000
"LitchfieldCounty,Connecticut",157,0.00192,188000
"MiddlesexCounty,Connecticut",463,0.00759,25000
"NewHavenCounty,Connecticut",260,0.00501,42000
"NewLondonCounty,Connecticut",306,0.00845,127000
"TollandCounty,Connecticut",205,0.00353,125000
"WindhamCounty,Connecticut",283,0.00296,161000
"KentCounty,Delaware",309,0.00569,70000
"NewCastleCounty,Delaware",101,0.00006,39000
"SussexCounty,Delaware",480,0.00648,69000
"DistrictofColumbia,DistrictofColumbia",465,0.0091,77000
"AlachuaCounty,Florida",387,0.00766,89000
"BakerCounty,Florida",300,0.00554,137000
"BayCounty,Florida",345,0.00977,132000
"BradfordCounty,Florida",113,0.00434,178000
"BrevardCounty,Florida",405,0.00336,125000
"BrowardCounty,Florida",418,0.00607,103000
"CalhounCounty,Florida",235,0.00512,193000
"CharlotteCounty,Florida",346,0.00931,30000
"CitrusCounty,Florida",157,0.00439,169000
"ClayCounty,Florida",152,0.00938,135000
"CollierCounty,Florida",193,0.0088,53000
"ColumbiaCounty,Florida",353,0.00754,93000
"DeSotoCounty,Florida",142,0.00891,121000
"DixieCounty,Florida",334,0.00665,151000
"DuvalCounty,Florida",454,0.00034,132000
"EscambiaCounty,Florida",152,0.00636,148000
"FlaglerCounty,Florida",182,0.00494,134000
"FranklinCounty,Florida",333,0.00836,87000
"GadsdenCounty,Florida",459,0.00929,23000
"GilchristCounty,Florida",245,0.01,112000
"GladesCounty,Florida",109,0.00049,100000
"GulfCounty,Florida",105,0.00614,186000
"HamiltonCounty,Florida",303,0.00206,11000
"HardeeCounty,Florida",403,0.00119,38000
"HendryCounty,Florida",136,0.00399,183000
"HernandoCounty,Florida",231,0.00068,84000
"HighlandsCounty,Florida",384,0.00934,36000
"HillsboroughCounty,Florida",236,0.00752,93000
"HolmesCounty,Florida",419,0.00945,53000
"IndianRiverCounty,Florida",384,0.00459,166000
"JacksonCounty,Florida",187,0.00089,62000
"JeffersonCounty,Florida",241,0.00361,185000
"LafayetteCounty,Florida",455,0.00181,63000
"LakeCounty,Florida",323,0.00182,68000
"LeeCounty,Florida",495,0.00423,35000
"LeonCounty,Florida",412,0.00351,35000
"LevyCounty,Florida",275,0.0063,147000
"LibertyCounty,Florida",370,0.00224,63000
"MadisonCounty,Florida",325,0.00846,196000
"ManateeCounty,Florida",150,0.00626,75000
"MarionCounty,Florida",266,0.00811,72000
"MartinCounty,Florida",305,0.00724,24000
"Miami-DadeCounty,Florida",450,0.00475,100000
"MonroeCounty,Florida",441,0.00395,130000
"NassauCounty,Florida",247,0.00238,51000
"OkaloosaCounty,Florida",460,0.00513,110000
"OkeechobeeCounty,Florida",414,0.00543,105000
"OrangeCounty,Florida",266,0.00015,22000
"OsceolaCounty,Florida",382,0.00519,69000
"PalmBeachCounty,Florida",107,0.00952,78000
"PascoCounty,Florida",252,0.00369,16000
"PinellasCounty,Florida",278,0.00726,107000
"PolkCounty,Florida",397,0.00179,137000
"PutnamCounty,Florida",281,0.00739,170000
"SaintJohnsCounty,Florida",211,0.00691,122000
"SaintLucieCounty,Florida",410,0.00627,102000
"SantaRosaCounty,Florida",121,0.00351,14000
"SarasotaCounty,Florida",212,0.00418,196000
"SeminoleCounty,Florida",228,0.00743,57000
"SumterCounty,Florida",455,0.00647,67000
"SuwanneeCounty,Florida",498,0.00563,147000
"TaylorCounty,Florida",123,0.00249,95000
"UnionCounty,Florida",487,0.00853,114000
"VolusiaCounty,Florida",298,0.00006,87000
"WakullaCounty,Florida",275,0.00719,181000
"WaltonCounty,Florida",423,0.00085,176000
"WashingtonCounty,Florida",324,0.00402,143000
"ApplingCounty,Georgia",255,0.00512,121000
"AtkinsonCounty,Georgia",383,0.00102,185000
"BaconCounty,Georgia",191,0.00956,118000
"BakerCounty,Georgia",173,0.00503,100000
"BaldwinCounty,Georgia",287,0.00202,100000
"BanksCounty,Georgia",149,0.00306,98000
"BarrowCounty,Georgia",110,0.00772,65000
"BartowCounty,Georgia",159,0.0058,124000
"BenHillCounty,Georgia",224,0.00696,198000
"BerrienCounty,Georgia",201,0.00854,93000
"BibbCounty,Georgia",224,0.00937,79000
"BleckleyCounty,Georgia",234,0.0008,63000
"BrantleyCounty,Georgia",353,0.00979,199000
"BrooksCounty,Georgia",162,0.00772,75000
"BryanCounty,Georgia",164,0.0018,32000
"BullochCounty,Georgia",184,0.00161,189000
"BurkeCounty,Georgia",190,0.00617,83000
"ButtsCounty,Georgia",159,0.00181,188000
"CalhounCounty,Georgia",219,0.00681,114000
"CamdenCounty,Georgia",261,0.00716,60000
"CandlerCounty,Georgia",117,0.00652,187000
"CarrollCounty,Georgia",349,0.00755,51000
"CatoosaCounty,Georgia",431,0.00975,83000
"CharltonCounty,Georgia",289,0.00717,131000
"ChathamCounty,Georgia",306,0.0047,198000
"ChattahoocheeCounty,Georgia",247,0.00685,169000
"ChattoogaCounty,Georgia",462,0.00942,189000
"CherokeeCounty,Georgia",356,0.00152,11000
"ClarkeCounty,Georgia",369,0.00469,99000
"ClayCounty,Georgia",449,0.00248,129000
"ClaytonCounty,Georgia",449,0.00039,186000
"ClinchCounty,Georgia",374,0.00473,46000
"CobbCounty,Georgia",209,0.00113,170000
"CoffeeCounty,Georgia",105,0.00843,69000
"ColquittCounty,Georgia",340,0.003,161000
"ColumbiaCounty,Georgia",102,0.00113,147000
"CookCounty,Georgia",412,0.00479,41000
"CowetaCounty,Georgia",294,0.00346,58000
"CrawfordCounty,Georgia",313,0.00197,76000
"CrispCounty,Georgia",431,0.007,46000
"DadeCounty,Georgia",217,0.00581,120000
"DawsonCounty,Georgia",463,0.00615,152000
"DeKalbCounty,Georgia",309,0.00165,160000
"DecaturCounty,Georgia",500,0.00379,115000
"DodgeCounty,Georgia",293,0.00413,187000
"DoolyCounty,Georgia",223,0.00295,180000
"DoughertyCounty,Georgia",463,0.00762,163000
"DouglasCounty,Georgia",131,0.00268,193000
"EarlyCounty,Georgia",258,0.00594,29000
"EcholsCounty,Georgia",351,0.00765,165000
"EffinghamCounty,Georgia",284,0.00963,100000
"ElbertCounty,Georgia",424,0.00652,80000
"EmanuelCounty,Georgia",484,0.0014,49000
"EvansCounty,Georgia",267,0.00202,18000
"FanninCounty,Georgia",379,0.00444,59000
"FayetteCounty,Georgia",413,0.00915,145000
"FloydCounty,Georgia",387,0.00097,117000
"ForsythCounty,Georgia",179,0.00009,50000
"FranklinCounty,Georgia",143,0.00513,193000
"FultonCounty,Georgia",212,0.00875,193000
"GilmerCounty,Georgia",349,0.00686,103000
"GlascockCounty,Georgia",170,0.00891,128000
"GlynnCounty,Georgia",480,0.00272,102000
"GordonCounty,Georgia",354,0.006,196000
"GradyCounty,Georgia",348,0.00944,50000
"GreeneCounty,Georgia",433,0.00164,77000
"GwinnettCounty,Georgia",445,0.00019,138000
"HabershamCounty,Georgia",326,0.00514,122000
"HallCounty,Georgia",392,0.00956,133000
"HancockCounty,Georgia",382,0.00771,26000
"HaralsonCounty,Georgia",402,0.00954,197000
"HarrisCounty,Georgia",187,0.005,75000
"HartCounty,Georgia",258,0.00035,135000
"HeardCounty,Georgia",311,0.00312,143000
"HenryCounty,Georgia",347,0.00013,103000
"HoustonCounty,Georgia",144,0.00555,106000
"IrwinCounty,Georgia",313,0.00997,74000
"JacksonCounty,Georgia",271,0.00623,74000
"JasperCounty,Georgia",392,0.0059,193000
"JeffDavisCounty,Georgia",240,0.00394,142000
"JeffersonCounty,Georgia",110,0.00016,58000
"JenkinsCounty,Georgia",228,0.0044,121000
"JohnsonCounty,Georgia",272,0.00088,109000
"JonesCounty,Georgia",485,0.00213,139000
"LamarCounty,Georgia",423,0.0088,23000
"LanierCounty,Georgia",135,0.00656,192000
"LaurensCounty,Georgia",434,0.00883,144000
"LeeCounty,Georgia",367,0.00222,193000
"LibertyCounty,Georgia",391,0.00477,101000
"LincolnCounty,Georgia",354,0.00762,129000
"LongCounty,Georgia",382,0.00264,177000
"LowndesCounty,Georgia",369,0.00486,67000
"LumpkinCounty,Georgia",118,0.00117,48000
"MaconCounty,Georgia",184,0.00845,102000
"MadisonCounty,Georgia",326,0.0027,40000
"MarionCounty,Georgia",237,0.00059,171000
"McDuffieCounty,Georgia",362,0.00751,129000
"McIntoshCounty,Georgia",447,0.00494,145000
"MeriwetherCounty,Georgia",155,0.00262,164000
"MillerCounty,Georgia",263,0.00138,143000
"MitchellCounty,Georgia",386,0.00779,176000
"MonroeCounty,Georgia",186,0.00952,146000
"MontgomeryCounty,Georgia",205,0.00701,55000
"MorganCounty,Georgia",400,0.00504,177000
"MurrayCounty,Georgia",289,0.00409,108000
"MuscogeeCounty,Georgia",134,0.00465,151000
"NewtonCounty,Georgia",475,0.0053,166000
"OconeeCounty,Georgia",336,0.00514,132000
"OglethorpeCounty,Georgia",109,0.00528,189000
"PauldingCounty,Georgia",136,0.00941,86000
"PeachCounty,Georgia",174,0.00767,179000
"PickensCounty,Georgia",302,0.00935,56000
"PierceCounty,Georgia",129,0.0026,155000
"PikeCounty,Georgia",322,0.00314,90000
"PolkCounty,Georgia",324,0.00096,80000
"PulaskiCounty,Georgia",301,0.00611,45000
"PutnamCounty,Georgia",153,0.00952,28000
"QuitmanCounty,Georgia",181,0.00602,91000
"RabunCounty,Georgia",497,0.00434,179000
"RandolphCounty,Georgia",184,0.0045,179000
"RichmondCounty,Georgia",293,0.00634,187000
"RockdaleCounty,Georgia",436,0.00627,175000
"SchleyCounty,Georgia",106,0.00818,26000
"ScrevenCounty,Georgia",376,0.0095,141000
"SeminoleCounty,Georgia",280,0.00572,74000
"SpaldingCounty,Georgia",337,0.0086,38000
"StephensCounty,Georgia",175,0.00861,135000
"StewartCounty,Georgia",443,0.00957,145000
"SumterCounty,Georgia",403,0.00808,169000
"TalbotCounty,Georgia",392,0.00221,21000
"TaliaferroCounty,Georgia",145,0.00253,60000
"TattnallCounty,Georgia",410,0.00663,156000
"TaylorCounty,Georgia",396,0.00974,181000
"TelfairCounty,Georgia",355,0.00102,169000
"TerrellCounty,Georgia",413,0.00268,89000
"ThomasCounty,Georgia",152,0.00471,162000
"TiftCounty,Georgia",195,0.00717,60000
"ToombsCounty,Georgia",202,0.00155,79000
"TownsCounty,Georgia",165,0.00543,179000
"TreutlenCounty,Georgia",197,0.00368,16000
"TroupCounty,Georgia",408,0.00969,42000
"TurnerCounty,Georgia",252,0.00444,26000
"TwiggsCounty,Georgia",487,0.00005,40000
"UnionCounty,Georgia",161,0.00342,40000
"UpsonCounty,Georgia",155,0.00644,48000
"WalkerCounty,Georgia",366,0.00253,32000
"WaltonCounty,Georgia",427,0.00554,74000
"WareCounty,Georgia",309,0.00488,72000
"WarrenCounty,Georgia",332,0.00269,22000
"WashingtonCounty,Georgia",128,0.00745,57000
"WayneCounty,Georgia",315,0.00209,200000
"WebsterCounty,Georgia",288,0.00612,179000
"WheelerCounty,Georgia",300,0.00131,111000
"WhiteCounty,Georgia",452,0.00491,156000
"WhitfieldCounty,Georgia",337,0.00214,35000
"WilcoxCounty,Georgia",139,0.00796,107000
"WilkesCounty,Georgia",162,0.00413,196000
"WilkinsonCounty,Georgia",108,0.00456,96000
"WorthCounty,Georgia",396,0.00976,184000
"HawaiiCounty,Hawaii",440,0.0009,55000
"HonoluluCounty,Hawaii",384,0.00711,132000
"KalawaoCounty,Hawaii",364,0.00066,112000
"KauaiCounty,Hawaii",450,0.00603,83000
"MauiCounty,Hawaii",387,0.00935,29000
"AdaCounty,Idaho",262,0.0079,37000
"AdamsCounty,Idaho",389,0.00962,126000
"BannockCounty,Idaho",431,0.00926,19000
"BearLakeCounty,Idaho",324,0.00753,53000
"BenewahCounty,Idaho",451,0.005,38000
"BinghamCounty,Idaho",446,0.00908,35000
"BlaineCounty,Idaho",319,0.00027,20000
"BoiseCounty,Idaho",345,0.00213,105000
"BonnerCounty,Idaho",467,0.00041,62000
"BonnevilleCounty,Idaho",166,0.00313,23000
"BoundaryCounty,Idaho",385,0.00065,191000
"ButteCounty,Idaho",374,0.00052,77000
"CamasCounty,Idaho",374,0.00872,110000
"CanyonCounty,Idaho",126,0.00175,11000
"CaribouCounty,Idaho",416,0.0067,61000
"CassiaCounty,Idaho",106,0.00978,191000
"ClarkCounty,Idaho",390,0.00396,200000
"ClearwaterCounty,Idaho",378,0.00723,57000
"CusterCounty,Idaho",371,0.00118,156000
"ElmoreCounty,Idaho",293,0.0068,189000
"FranklinCounty,Idaho",282,0.00579,177000
"FremontCounty,Idaho",148,0.00606,149000
"GemCounty,Idaho",295,0.00649,26000
"GoodingCounty,Idaho",195,0.00131,45000
"IdahoCounty,Idaho",147,0.00705,74000
"JeffersonCounty,Idaho",475,0.0001,71000
"JeromeCounty,Idaho",190,0.00745,185000
"KootenaiCounty,Idaho",155,0.00214,88000
"LatahCounty,Idaho",267,0.00829,10000
